mtry,min_n,.metric,.estimator,mean,n,std_err,.config
32,28,accuracy,binary,0.9009859943977591,5,0.019947137256399846,Preprocessor1_Model01
32,28,bal_accuracy,binary,0.6891469039849611,5,0.06902999183151146,Preprocessor1_Model01
32,28,roc_auc,binary,0.8767248196643392,5,0.02172508502949509,Preprocessor1_Model01
32,28,sens,binary,0.9692703382722953,5,0.025060038869393543,Preprocessor1_Model01
32,28,spec,binary,0.409023469697627,5,0.1523768577290405,Preprocessor1_Model01
16,6,accuracy,binary,0.9045490196078432,5,0.01930643409124823,Preprocessor1_Model02
16,6,bal_accuracy,binary,0.7027688882014893,5,0.06797917981318632,Preprocessor1_Model02
16,6,roc_auc,binary,0.8971712368239465,5,0.017250834250226943,Preprocessor1_Model02
16,6,sens,binary,0.9673008235592843,5,0.023589363959301758,Preprocessor1_Model02
16,6,spec,binary,0.4382369528436944,5,0.14793591460648678,Preprocessor1_Model02
15,7,accuracy,binary,0.903406162464986,5,0.019800592432510422,Preprocessor1_Model03
15,7,bal_accuracy,binary,0.701253903263386,5,0.06803901570214052,Preprocessor1_Model03
15,7,roc_auc,binary,0.8996196343739337,5,0.014581027491820785,Preprocessor1_Model03
15,7,sens,binary,0.9665180446943136,5,0.02435758901783095,Preprocessor1_Model03
15,7,spec,binary,0.43598976183245847,5,0.14854921424715917,Preprocessor1_Model03
4,17,accuracy,binary,0.9115182072829132,5,0.027956931174686627,Preprocessor1_Model04
4,17,bal_accuracy,binary,0.6306064363712162,5,0.060111784782349624,Preprocessor1_Model04
4,17,roc_auc,binary,0.8995539576543782,5,0.027021047838346517,Preprocessor1_Model04
4,17,sens,binary,0.9918362730287541,5,0.004612087557303993,Preprocessor1_Model04
4,17,spec,binary,0.2693765997136784,5,0.11788952921909779,Preprocessor1_Model04
15,25,accuracy,binary,0.901703081232493,5,0.019869606085390606,Preprocessor1_Model05
15,25,bal_accuracy,binary,0.6858266902599451,5,0.07081004558035582,Preprocessor1_Model05
15,25,roc_auc,binary,0.8948172839350487,5,0.017606205434271504,Preprocessor1_Model05
15,25,sens,binary,0.9716186748672072,5,0.02275847526764839,Preprocessor1_Model05
15,25,spec,binary,0.4000347056526832,5,0.15467981184878296,Preprocessor1_Model05
26,33,accuracy,binary,0.8986330532212885,5,0.020901671736115034,Preprocessor1_Model06
26,33,bal_accuracy,binary,0.6824053309512532,5,0.07066593481442354,Preprocessor1_Model06
26,33,roc_auc,binary,0.880404512970923,5,0.02190010791325652,Preprocessor1_Model06
26,33,sens,binary,0.9692703382722953,5,0.025060038869393543,Preprocessor1_Model06
26,33,spec,binary,0.39554032363021124,5,0.15601285624577862,Preprocessor1_Model06
27,22,accuracy,binary,0.9025770308123249,5,0.019516457710212272,Preprocessor1_Model07
27,22,bal_accuracy,binary,0.6954297614223387,5,0.0681301485253627,Preprocessor1_Model07
27,22,roc_auc,binary,0.8868167473460091,5,0.02179317263568553,Preprocessor1_Model07
27,22,sens,binary,0.9683529070796347,5,0.024794173771761987,Preprocessor1_Model07
27,22,spec,binary,0.4225066157650427,5,0.14986991921175194,Preprocessor1_Model07
28,12,accuracy,binary,0.8987002801120448,5,0.02077138680049098,Preprocessor1_Model08
28,12,bal_accuracy,binary,0.6877707571959703,5,0.06931382664155672,Preprocessor1_Model08
28,12,roc_auc,binary,0.8886748348982957,5,0.018573953086551832,Preprocessor1_Model08
28,12,sens,binary,0.9665180446943136,5,0.02435758901783095,Preprocessor1_Model08
28,12,spec,binary,0.409023469697627,5,0.1523768577290405,Preprocessor1_Model08
6,37,accuracy,binary,0.9019943977591036,5,0.024347699868805736,Preprocessor1_Model09
6,37,bal_accuracy,binary,0.6256804053832272,5,0.05881996830502015,Preprocessor1_Model09
6,37,roc_auc,binary,0.8985614676944244,5,0.025208324461222547,Preprocessor1_Model09
6,37,sens,binary,0.981984211052776,5,0.011115145801262698,Preprocessor1_Model09
6,37,spec,binary,0.2693765997136784,5,0.11788952921909779,Preprocessor1_Model09
28,20,accuracy,binary,0.9002240896358543,5,0.02019689816011064,Preprocessor1_Model10
28,20,bal_accuracy,binary,0.6886881883886309,5,0.06912168880127992,Preprocessor1_Model10
28,20,roc_auc,binary,0.8890029404431158,5,0.020838112243512005,Preprocessor1_Model10
28,20,sens,binary,0.9683529070796347,5,0.024794173771761987,Preprocessor1_Model10
28,20,spec,binary,0.409023469697627,5,0.1523768577290405,Preprocessor1_Model10
29,26,accuracy,binary,0.9032717086834734,5,0.019189695859565828,Preprocessor1_Model11
29,26,bal_accuracy,binary,0.6903210722824171,5,0.06977941909263141,Preprocessor1_Model11
29,26,roc_auc,binary,0.8892445147230077,5,0.021695371006950456,Preprocessor1_Model11
29,26,sens,binary,0.9716186748672072,5,0.02275847526764839,Preprocessor1_Model11
29,26,spec,binary,0.409023469697627,5,0.1523768577290405,Preprocessor1_Model11
10,40,accuracy,binary,0.8997759103641456,5,0.0224439083276548,Preprocessor1_Model12
10,40,bal_accuracy,binary,0.6300736418220232,5,0.05703244128109279,Preprocessor1_Model12
10,40,roc_auc,binary,0.9002482180860879,5,0.021097924058883565,Preprocessor1_Model12
10,40,sens,binary,0.9772875378629522,5,0.015529494126964563,Preprocessor1_Model12
10,40,spec,binary,0.2828597457810941,5,0.11477234181722734,Preprocessor1_Model12
30,27,accuracy,binary,0.9009859943977591,5,0.019947137256399846,Preprocessor1_Model13
30,27,bal_accuracy,binary,0.6891469039849611,5,0.06902999183151146,Preprocessor1_Model13
30,27,roc_auc,binary,0.8820890950378918,5,0.021983883017761174,Preprocessor1_Model13
30,27,sens,binary,0.9692703382722953,5,0.025060038869393543,Preprocessor1_Model13
30,27,spec,binary,0.409023469697627,5,0.1523768577290405,Preprocessor1_Model13
36,10,accuracy,binary,0.897187675070028,5,0.021385936605401848,Preprocessor1_Model14
36,10,bal_accuracy,binary,0.6932322740068144,5,0.067773961450737,Preprocessor1_Model14
36,10,roc_auc,binary,0.8825655919658205,5,0.022727072223056186,Preprocessor1_Model14
36,10,sens,binary,0.9617107412373501,5,0.02546284647039016,Preprocessor1_Model14
36,10,spec,binary,0.42475380677627866,5,0.14956622638645414,Preprocessor1_Model14
9,8,accuracy,binary,0.9021288515406163,5,0.01962206766953003,Preprocessor1_Model15
9,8,bal_accuracy,binary,0.6869502857655632,5,0.07052695476174049,Preprocessor1_Model15
9,8,roc_auc,binary,0.9069662436947634,5,0.017225552438376507,Preprocessor1_Model15
9,8,sens,binary,0.9716186748672072,5,0.02275847526764839,Preprocessor1_Model15
9,8,spec,binary,0.4022818966639191,5,0.1540581391413719,Preprocessor1_Model15
27,35,accuracy,binary,0.8993949579831932,5,0.020762651512372585,Preprocessor1_Model16
27,35,bal_accuracy,binary,0.6790851172262373,5,0.07232845494252264,Preprocessor1_Model16
27,35,roc_auc,binary,0.8805914202551217,5,0.021871985098774548,Preprocessor1_Model16
27,35,sens,binary,0.9716186748672072,5,0.02275847526764839,Preprocessor1_Model16
27,35,spec,binary,0.38655155958526743,5,0.15807134568565198,Preprocessor1_Model16
8,14,accuracy,binary,0.9032044817927171,5,0.02064152025300236,Preprocessor1_Model17
8,14,bal_accuracy,binary,0.6791862628099133,5,0.07445526463405681,Preprocessor1_Model17
8,14,roc_auc,binary,0.9032304361090959,5,0.021737702320578308,Preprocessor1_Model17
8,14,sens,binary,0.976315348057031,5,0.01819125069453652,Preprocessor1_Model17
8,14,spec,binary,0.38205717756279556,5,0.15928094124099745,Preprocessor1_Model17
10,20,accuracy,binary,0.8986330532212885,5,0.02105731449186264,Preprocessor1_Model18
10,20,bal_accuracy,binary,0.6768379262150014,5,0.07287954314228023,Preprocessor1_Model18
10,20,roc_auc,binary,0.9041853980206344,5,0.019677871519305168,Preprocessor1_Model18
10,20,sens,binary,0.9716186748672072,5,0.02275847526764839,Preprocessor1_Model18
10,20,spec,binary,0.38205717756279556,5,0.15928094124099745,Preprocessor1_Model18
20,40,accuracy,binary,0.8986330532212885,5,0.02105731449186264,Preprocessor1_Model19
20,40,bal_accuracy,binary,0.6351549516553144,5,0.055008801761993284,Preprocessor1_Model19
20,40,roc_auc,binary,0.8862757634406564,5,0.023944054656264764,Preprocessor1_Model19
20,40,sens,binary,0.9739670114621191,5,0.02046754050702763,Preprocessor1_Model19
20,40,spec,binary,0.2963428918485098,5,0.11115998461219215,Preprocessor1_Model19
37,5,accuracy,binary,0.895327731092437,5,0.02068553088145644,Preprocessor1_Model20
37,5,bal_accuracy,binary,0.7017631695732366,5,0.07162824036972648,Preprocessor1_Model20
37,5,roc_auc,binary,0.8867309699056126,5,0.023249891620013126,Preprocessor1_Model20
37,5,sens,binary,0.9567257665032038,5,0.02439304344720158,Preprocessor1_Model20
37,5,spec,binary,0.4468005726432693,5,0.15275225098223355,Preprocessor1_Model20
15,2,accuracy,binary,0.9060728291316527,5,0.018761733298089944,Preprocessor1_Model21
15,2,bal_accuracy,binary,0.70355166706646,5,0.06845179799608121,Preprocessor1_Model21
15,2,roc_auc,binary,0.9042899859154013,5,0.014720102314320761,Preprocessor1_Model21
15,2,sens,binary,0.9688663812892255,5,0.022055984380633865,Preprocessor1_Model21
15,2,spec,binary,0.4382369528436944,5,0.14793591460648678,Preprocessor1_Model21
18,31,accuracy,binary,0.8997759103641456,5,0.020624298147607276,Preprocessor1_Model22
18,31,bal_accuracy,binary,0.6802087127318552,5,0.07207760808896051,Preprocessor1_Model22
18,31,roc_auc,binary,0.8941042978453992,5,0.018457091724021782,Preprocessor1_Model22
18,31,sens,binary,0.9716186748672072,5,0.02275847526764839,Preprocessor1_Model22
18,31,spec,binary,0.3887987505965034,5,0.15751116141824115,Preprocessor1_Model22
13,31,accuracy,binary,0.8986330532212885,5,0.02105731449186264,Preprocessor1_Model23
13,31,bal_accuracy,binary,0.6698907637883869,5,0.06847775227640822,Preprocessor1_Model23
13,31,roc_auc,binary,0.8929077446659354,5,0.019876067307585878,Preprocessor1_Model23
13,31,sens,binary,0.9720100642996925,5,0.02237582633971984,Preprocessor1_Model23
13,31,spec,binary,0.36777146327708127,5,0.14893297396954633,Preprocessor1_Model23
16,26,accuracy,binary,0.9009187675070028,5,0.02024660710962568,Preprocessor1_Model24
16,26,bal_accuracy,binary,0.6835794992487092,5,0.07142590405804111,Preprocessor1_Model24
16,26,roc_auc,binary,0.8938101048842878,5,0.017757107152526812,Preprocessor1_Model24
16,26,sens,binary,0.9716186748672072,5,0.02275847526764839,Preprocessor1_Model24
16,26,spec,binary,0.39554032363021124,5,0.15601285624577862,Preprocessor1_Model24
33,17,accuracy,binary,0.9010532212885154,5,0.02015491634731013,Preprocessor1_Model25
33,17,bal_accuracy,binary,0.6945123302296782,5,0.06834770152490231,Preprocessor1_Model25
33,17,roc_auc,binary,0.8829367504136809,5,0.02033578518545365,Preprocessor1_Model25
33,17,sens,binary,0.9665180446943136,5,0.02435758901783095,Preprocessor1_Model25
33,17,spec,binary,0.4225066157650427,5,0.14986991921175194,Preprocessor1_Model25
8,25,accuracy,binary,0.9009187675070028,5,0.021799798666513513,Preprocessor1_Model26
8,25,bal_accuracy,binary,0.6307617152165186,5,0.05683689444421871,Preprocessor1_Model26
8,25,roc_auc,binary,0.9023138211892034,5,0.020844299431144266,Preprocessor1_Model26
8,25,sens,binary,0.978663684651943,5,0.015935882742482116,Preprocessor1_Model26
8,25,spec,binary,0.2828597457810941,5,0.11477234181722734,Preprocessor1_Model26
10,12,accuracy,binary,0.9048515406162465,5,0.01907805773536702,Preprocessor1_Model27
10,12,bal_accuracy,binary,0.6901759503580125,5,0.07131363395168885,Preprocessor1_Model27
10,12,roc_auc,binary,0.9073711347724172,5,0.019229071258467758,Preprocessor1_Model27
10,12,sens,binary,0.9735756220296338,5,0.02084847595511646,Preprocessor1_Model27
10,12,spec,binary,0.40677627868639105,5,0.15413981180303957,Preprocessor1_Model27
11,21,accuracy,binary,0.8986330532212885,5,0.02105731449186264,Preprocessor1_Model28
11,21,bal_accuracy,binary,0.6768379262150014,5,0.07287954314228023,Preprocessor1_Model28
11,21,roc_auc,binary,0.9030490015977443,5,0.022047423389523584,Preprocessor1_Model28
11,21,sens,binary,0.9716186748672072,5,0.02275847526764839,Preprocessor1_Model28
11,21,spec,binary,0.38205717756279556,5,0.15928094124099745,Preprocessor1_Model28
24,4,accuracy,binary,0.8998767507002801,5,0.0209489234553465,Preprocessor1_Model29
24,4,bal_accuracy,binary,0.7017486489538497,5,0.06825531678023267,Preprocessor1_Model29
24,4,roc_auc,binary,0.8936197905815578,5,0.014606662938629826,Preprocessor1_Model29
24,4,sens,binary,0.9621021306698354,5,0.025076129727209896,Preprocessor1_Model29
24,4,spec,binary,0.4413951672378639,5,0.14943217577526907,Preprocessor1_Model29
28,30,accuracy,binary,0.9009859943977591,5,0.019947137256399846,Preprocessor1_Model30
28,30,bal_accuracy,binary,0.6891469039849611,5,0.06902999183151146,Preprocessor1_Model30
28,30,roc_auc,binary,0.8826173078678851,5,0.021682283042017667,Preprocessor1_Model30
28,30,sens,binary,0.9692703382722953,5,0.025060038869393543,Preprocessor1_Model30
28,30,spec,binary,0.409023469697627,5,0.1523768577290405,Preprocessor1_Model30
8,37,accuracy,binary,0.8997759103641456,5,0.0224439083276548,Preprocessor1_Model31
8,37,bal_accuracy,binary,0.6300736418220232,5,0.05703244128109279,Preprocessor1_Model31
8,37,roc_auc,binary,0.8954141511521625,5,0.023221935022265196,Preprocessor1_Model31
8,37,sens,binary,0.9772875378629522,5,0.015529494126964563,Preprocessor1_Model31
8,37,spec,binary,0.2828597457810941,5,0.11477234181722734,Preprocessor1_Model31
28,23,accuracy,binary,0.9018151260504201,5,0.019823619457469754,Preprocessor1_Model32
28,23,bal_accuracy,binary,0.6949710458260084,5,0.06823746991876414,Preprocessor1_Model32
28,23,roc_auc,binary,0.883635829695422,5,0.01992990532272011,Preprocessor1_Model32
28,23,sens,binary,0.9674354758869741,5,0.02455972145403278,Preprocessor1_Model32
28,23,spec,binary,0.4225066157650427,5,0.14986991921175194,Preprocessor1_Model32
33,21,accuracy,binary,0.899484593837535,5,0.02053801989870118,Preprocessor1_Model33
33,21,bal_accuracy,binary,0.6900179482072062,5,0.06892005568406245,Preprocessor1_Model33
33,21,roc_auc,binary,0.8812217952849551,5,0.020314937582567753,Preprocessor1_Model33
33,21,sens,binary,0.9665180446943136,5,0.02435758901783095,Preprocessor1_Model33
33,21,spec,binary,0.4135178517200989,5,0.15141247131451452,Preprocessor1_Model33
26,12,accuracy,binary,0.9022296918767507,5,0.019943870581653565,Preprocessor1_Model34
26,12,bal_accuracy,binary,0.697883116746532,5,0.06811017382876383,Preprocessor1_Model34
26,12,roc_auc,binary,0.8887508667882688,5,0.017124355487229695,Preprocessor1_Model34
26,12,sens,binary,0.9665180446943136,5,0.02435758901783095,Preprocessor1_Model34
26,12,spec,binary,0.4292481887987506,5,0.14905865309341793,Preprocessor1_Model34
35,9,accuracy,binary,0.8991484593837534,5,0.02095160501266968,Preprocessor1_Model35
35,9,bal_accuracy,binary,0.6988502515349043,5,0.06746312768489778,Preprocessor1_Model35
35,9,roc_auc,binary,0.8864470058027483,5,0.019010668253690636,Preprocessor1_Model35
35,9,sens,binary,0.9617107412373501,5,0.02546284647039016,Preprocessor1_Model35
35,9,spec,binary,0.43598976183245847,5,0.14854921424715917,Preprocessor1_Model35
30,22,accuracy,binary,0.9025770308123249,5,0.019516457710212272,Preprocessor1_Model36
30,22,bal_accuracy,binary,0.6954297614223387,5,0.0681301485253627,Preprocessor1_Model36
30,22,roc_auc,binary,0.8798572751728008,5,0.022978076669283993,Preprocessor1_Model36
30,22,sens,binary,0.9683529070796347,5,0.024794173771761987,Preprocessor1_Model36
30,22,spec,binary,0.4225066157650427,5,0.14986991921175194,Preprocessor1_Model36
6,3,accuracy,binary,0.9047843137254902,5,0.021098559863620504,Preprocessor1_Model37
6,3,bal_accuracy,binary,0.6790411408855086,5,0.07605213346071897,Preprocessor1_Model37
6,3,roc_auc,binary,0.9077006510719768,5,0.01935528338097652,Preprocessor1_Model37
6,3,sens,binary,0.9782722952194577,5,0.016309955166024313,Preprocessor1_Model37
6,3,spec,binary,0.37980998655155956,5,0.16110940959759953,Preprocessor1_Model37
9,14,accuracy,binary,0.8986330532212885,5,0.02105731449186264,Preprocessor1_Model38
9,14,bal_accuracy,binary,0.6768379262150014,5,0.07287954314228023,Preprocessor1_Model38
9,14,roc_auc,binary,0.9051575793512014,5,0.019691429041040234,Preprocessor1_Model38
9,14,sens,binary,0.9716186748672072,5,0.02275847526764839,Preprocessor1_Model38
9,14,spec,binary,0.38205717756279556,5,0.15928094124099745,Preprocessor1_Model38
13,7,accuracy,binary,0.9056918767507003,5,0.01896453787395904,Preprocessor1_Model39
13,7,bal_accuracy,binary,0.702428071560842,5,0.0687475627713278,Preprocessor1_Model39
13,7,roc_auc,binary,0.9007830410328175,5,0.015450544337449568,Preprocessor1_Model39
13,7,sens,binary,0.9688663812892255,5,0.022055984380633865,Preprocessor1_Model39
13,7,spec,binary,0.43598976183245847,5,0.14854921424715917,Preprocessor1_Model39
14,9,accuracy,binary,0.9033389355742296,5,0.019403607002095234,Preprocessor1_Model40
14,9,bal_accuracy,binary,0.695686498527134,5,0.06908173350231049,Preprocessor1_Model40
14,9,roc_auc,binary,0.896448133912141,5,0.018890150767173715,Preprocessor1_Model40
14,9,sens,binary,0.9688663812892255,5,0.022055984380633865,Preprocessor1_Model40
14,9,spec,binary,0.4225066157650427,5,0.14986991921175194,Preprocessor1_Model40
19,33,accuracy,binary,0.8993949579831932,5,0.020762651512372585,Preprocessor1_Model41
19,33,bal_accuracy,binary,0.6651907923730084,5,0.06402415656061415,Preprocessor1_Model41
19,33,roc_auc,binary,0.8925056980259014,5,0.0183827290888152,Preprocessor1_Model41
19,33,sens,binary,0.9724014537321778,5,0.021993485027120153,Preprocessor1_Model41
19,33,spec,binary,0.3579801310138389,5,0.1381308945719018,Preprocessor1_Model41
34,37,accuracy,binary,0.8993949579831932,5,0.020762651512372585,Preprocessor1_Model42
34,37,bal_accuracy,binary,0.6651907923730084,5,0.06402415656061415,Preprocessor1_Model42
34,37,roc_auc,binary,0.8769397944744796,5,0.023156846440252746,Preprocessor1_Model42
34,37,sens,binary,0.9724014537321778,5,0.021993485027120153,Preprocessor1_Model42
34,37,spec,binary,0.3579801310138389,5,0.1381308945719018,Preprocessor1_Model42
28,15,accuracy,binary,0.9010532212885154,5,0.02015491634731013,Preprocessor1_Model43
28,15,bal_accuracy,binary,0.6945123302296782,5,0.06834770152490231,Preprocessor1_Model43
28,15,roc_auc,binary,0.8892259191532699,5,0.019125293495017695,Preprocessor1_Model43
28,15,sens,binary,0.9665180446943136,5,0.02435758901783095,Preprocessor1_Model43
28,15,spec,binary,0.4225066157650427,5,0.14986991921175194,Preprocessor1_Model43
26,17,accuracy,binary,0.9010532212885154,5,0.02015491634731013,Preprocessor1_Model44
26,17,bal_accuracy,binary,0.6945123302296782,5,0.06834770152490231,Preprocessor1_Model44
26,17,roc_auc,binary,0.8903303078231412,5,0.019765325128601283,Preprocessor1_Model44
26,17,sens,binary,0.9665180446943136,5,0.02435758901783095,Preprocessor1_Model44
26,17,spec,binary,0.4225066157650427,5,0.14986991921175194,Preprocessor1_Model44
22,24,accuracy,binary,0.9044481792717086,5,0.018749835737497333,Preprocessor1_Model45
22,24,bal_accuracy,binary,0.693691858799271,5,0.06918820501595635,Preprocessor1_Model45
22,24,roc_auc,binary,0.8900760757716163,5,0.019898294682874875,Preprocessor1_Model45
22,24,sens,binary,0.9716186748672072,5,0.02275847526764839,Preprocessor1_Model45
22,24,spec,binary,0.41576504273133486,5,0.1509781471637132,Preprocessor1_Model45
16,34,accuracy,binary,0.8986330532212885,5,0.02105731449186264,Preprocessor1_Model46
16,34,bal_accuracy,binary,0.6351549516553144,5,0.055008801761993284,Preprocessor1_Model46
16,34,roc_auc,binary,0.8918577130670285,5,0.020291648465689816,Preprocessor1_Model46
16,34,sens,binary,0.9739670114621191,5,0.02046754050702763,Preprocessor1_Model46
16,34,spec,binary,0.2963428918485098,5,0.11115998461219215,Preprocessor1_Model46
27,11,accuracy,binary,0.9006610644257703,5,0.020239977619804055,Preprocessor1_Model47
27,11,bal_accuracy,binary,0.6942748005384667,5,0.06837067649180661,Preprocessor1_Model47
27,11,roc_auc,binary,0.8903385453827248,5,0.016781437740368863,Preprocessor1_Model47
27,11,sens,binary,0.9660429853118908,5,0.024198447588088645,Preprocessor1_Model47
27,11,spec,binary,0.4225066157650427,5,0.14986991921175194,Preprocessor1_Model47
32,26,accuracy,binary,0.9006050420168067,5,0.020068790827830515,Preprocessor1_Model48
32,26,bal_accuracy,binary,0.688917546186796,5,0.06907547475407015,Preprocessor1_Model48
32,26,roc_auc,binary,0.8806696437946878,5,0.02211221606783366,Preprocessor1_Model48
32,26,sens,binary,0.968811622675965,5,0.024923239768970762,Preprocessor1_Model48
